trade_date,rule_id,level,field,count
1991-08-07,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-08,MISSING_VALUE,WARN,amount,4
1991-08-08,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-08-09,MISSING_VALUE,WARN,amount,4
1991-08-09,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-12,MISSING_VALUE,WARN,amount,4
1991-08-12,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-08-13,MISSING_VALUE,WARN,amount,4
1991-08-13,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-08-14,MISSING_VALUE,WARN,amount,4
1991-08-14,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-15,MISSING_VALUE,WARN,amount,4
1991-08-15,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-16,MISSING_VALUE,WARN,amount,4
1991-08-16,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-17,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-08-19,MISSING_VALUE,WARN,amount,4
1991-08-19,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-20,MISSING_VALUE,WARN,amount,4
1991-08-20,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-21,MISSING_VALUE,WARN,amount,4
1991-08-21,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-22,MISSING_VALUE,WARN,amount,4
1991-08-22,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-23,MISSING_VALUE,WARN,amount,4
1991-08-23,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-08-24,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-08-26,MISSING_VALUE,WARN,amount,4
1991-08-26,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-08-27,MISSING_VALUE,WARN,amount,4
1991-08-27,VWAP_OUT_OF_RANGE,ERROR,amount,8
1991-08-28,MISSING_VALUE,WARN,amount,4
1991-08-28,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-29,MISSING_VALUE,WARN,amount,4
1991-08-29,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-30,MISSING_VALUE,WARN,amount,4
1991-08-30,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-31,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-09-02,MISSING_VALUE,WARN,amount,4
1991-09-02,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-03,MISSING_VALUE,WARN,amount,4
1991-09-03,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-04,MISSING_VALUE,WARN,amount,4
1991-09-04,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-05,MISSING_VALUE,WARN,amount,4
1991-09-05,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-06,MISSING_VALUE,WARN,amount,4
1991-09-06,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-07,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-09-09,MISSING_VALUE,WARN,amount,4
1991-09-09,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-10,MISSING_VALUE,WARN,amount,4
1991-09-10,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-11,MISSING_VALUE,WARN,amount,4
1991-09-11,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-12,MISSING_VALUE,WARN,amount,4
1991-09-12,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-13,MISSING_VALUE,WARN,amount,4
1991-09-13,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-14,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-09-16,MISSING_VALUE,WARN,amount,4
1991-09-16,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-17,MISSING_VALUE,WARN,amount,4
1991-09-17,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-18,MISSING_VALUE,WARN,amount,4
1991-09-18,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-19,MISSING_VALUE,WARN,amount,4
1991-09-19,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-20,MISSING_VALUE,WARN,amount,4
1991-09-20,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-21,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-09-23,MISSING_VALUE,WARN,amount,4
1991-09-23,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-24,MISSING_VALUE,WARN,amount,4
1991-09-24,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-25,MISSING_VALUE,WARN,amount,4
1991-09-25,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-26,MISSING_VALUE,WARN,amount,4
1991-09-26,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-27,MISSING_VALUE,WARN,amount,4
1991-09-27,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-09-28,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-09-29,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-09-30,MISSING_VALUE,WARN,amount,4
1991-09-30,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-10-03,MISSING_VALUE,WARN,amount,4
1991-10-03,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-10-04,MISSING_VALUE,WARN,amount,4
1991-10-04,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-10-05,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-10-07,MISSING_VALUE,WARN,amount,4
1991-10-07,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-10-08,MISSING_VALUE,WARN,amount,4
1991-10-08,VWAP_OUT_OF_RANGE,ERROR,amount,8
1991-10-09,MISSING_VALUE,WARN,amount,5
1991-10-09,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-10-10,MISSING_VALUE,WARN,amount,4
1991-10-10,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-10-11,MISSING_VALUE,WARN,amount,4
1991-10-11,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-10-12,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-10-14,MISSING_VALUE,WARN,amount,4
1991-10-14,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-10-15,MISSING_VALUE,WARN,amount,4
1991-10-15,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-10-16,MISSING_VALUE,WARN,amount,4
1991-10-16,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-10-17,MISSING_VALUE,WARN,amount,4
1991-10-17,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-10-18,MISSING_VALUE,WARN,amount,4
1991-10-18,VWAP_OUT_OF_RANGE,ERROR,amount,7
