date,code,signal,forward_return_5d,forward_return_20d,fwd5_32,fwd20_32,missing,fwd5_32_tr,fwd20_32_tr,fwd5_64,fwd20_64,fwd5_64_t64,fwd20_64_t64
2024-11-28,000525.SZ,1.369095376442264,,,,,true,,,,,,
2024-11-29,000525.SZ,1.395441730564901,,,,,true,,,,,,
2024-12-02,000525.SZ,1.4125021345724171,,,,,true,,,,,,
2024-12-03,000525.SZ,1.6028762833646713,,,,,true,,,,,,
2024-12-04,000525.SZ,1.615029384481419,,,,,true,,,,,,
2024-12-05,000525.SZ,1.5900165338850407,,,,,true,,,,,,
2024-12-06,000525.SZ,1.6035135329270163,,,,,true,,,,,,
2024-12-09,000525.SZ,1.6119602961541013,,,,,true,,,,,,
2024-12-10,000525.SZ,1.5974017854282954,,,,,true,,,,,,
2024-12-11,000525.SZ,1.6002103005296178,,,,,true,,,,,,
2024-12-12,000525.SZ,1.5551133405347097,,,,,true,,,,,,
2024-12-13,000525.SZ,-1.9687154573399732,-0.17083013,-0.26585317,-0.17083013,-0.26585317,false,-0.20820528,-0.25624526,-0.17083013066871644,-0.26585318985395856,-0.20820522674865494,-0.2562451960030746
2024-12-16,000525.SZ,-2.177834851016706,-0.17009062,-0.22044313,-0.17009062,-0.22044313,false,-0.20694858,-0.23383689,-0.17009063444108763,-0.2204431017119839,-0.20694864048338368,-0.23383685800604226
2024-12-17,000525.SZ,-2.0551349964110326,,,,,true,,,,,,
2024-12-18,000525.SZ,-2.1773395410262077,-0.20643795,-0.19356197,-0.20643795,-0.19356197,false,-0.20643795,-0.19356197,-0.2064379947229552,-0.19356200527704492,-0.2064379947229552,-0.19356200527704492
2024-12-19,000525.SZ,-2.2433401380506184,-0.15850025,-0.12288463,-0.15850025,-0.12288463,false,-0.15850025,-0.12288463,-0.1585001659108506,-0.1228846366552373,-0.1585001659108506,-0.1228846366552373
2024-12-20,000525.SZ,-2.3624181365372876,-0.11842418,-0.11714947,-0.11842418,-0.11714947,false,-0.11842418,-0.11714947,-0.11842410196987252,-0.11714947856315183,-0.11842410196987252,-0.11714947856315183
2024-12-23,000525.SZ,-2.2696909544022446,-0.08215016,-0.09294987,-0.08215016,-0.09294987,false,-0.08215016,-0.09294987,-0.08215022448731946,-0.0929498847227278,-0.08215022448731946,-0.0929498847227278
2024-12-24,000525.SZ,-2.3641360705194376,-0.052190483,-0.049396932,-0.052190483,-0.049396932,false,-0.052190483,-0.049396932,-0.05219047619047623,-0.04939682539682544,-0.05219047619047623,-0.04939682539682544
2024-12-25,000525.SZ,-2.405141009467334,-0.042824864,-0.019151509,-0.042824864,-0.019151509,false,-0.042824864,-0.019151509,-0.04282484372921924,-0.01915148290996138,-0.04282484372921924,-0.01915148290996138
2024-12-26,000525.SZ,-2.4084121924652093,-0.011698127,-0.04232377,-0.011698127,-0.04232377,false,-0.011698127,-0.04232377,-0.011698212407991626,-0.042323869610935816,-0.011698212407991626,-0.042323869610935816
2024-12-27,000525.SZ,-2.428707010892526,-0.049684405,-0.07150352,-0.049684405,-0.07150352,false,-0.049684405,-0.07150352,-0.04968454258675081,-0.07150368033648791,-0.04968454258675081,-0.07150368033648791
2024-12-30,000525.SZ,-2.4736264314281664,-0.024986744,-0.06028551,-0.024986744,-0.06028551,false,-0.024986744,-0.06028551,-0.02498677948175565,-0.060285563194077185,-0.02498677948175565,-0.060285563194077185
2024-12-31,000525.SZ,-2.4707163946934902,0.010316253,-0.041666687,0.010316253,-0.041666687,false,0.010316253,-0.041666687,0.010316184351554014,-0.04166666666666663,0.010316184351554014,-0.04166666666666663
2025-01-02,000525.SZ,-2.5300035803367016,0.052521944,0.0077810287,0.052521944,0.0077810287,false,0.052521944,0.0077810287,0.05252188411838277,0.007781019869389949,0.05252188411838277,0.007781019869389949
2025-01-03,000525.SZ,-2.5169945972788788,0.013299584,-0.030988216,0.013299584,-0.030988216,false,0.013299584,-0.030988216,0.013299640909695487,-0.03098816331959031,0.013299640909695487,-0.03098816331959031
2025-01-06,000525.SZ,-2.5477022935945373,0.0568465,-0.0015214682,0.0568465,-0.0015214682,false,0.0568465,-0.0015214682,0.05684647302904566,-0.0015214384508990264,0.05684647302904566,-0.0015214384508990264
2025-01-07,000525.SZ,-2.498298052657311,0.049627066,-0.02413559,0.049627066,-0.02413559,false,0.049627066,-0.02413559,0.04962711864406777,-0.02413559322033898,0.04962711864406777,-0.02413559322033898
2025-01-08,000525.SZ,-2.5645368715128134,0.008884668,-0.047076106,0.008884668,-0.047076106,false,0.008884668,-0.047076106,0.008884763293992792,-0.04707598461742468,0.008884763293992792,-0.04707598461742468
2025-01-09,000525.SZ,-2.6242093825913186,0.008712769,-0.05874592,0.008712769,-0.05874592,false,0.008712769,-0.05874592,0.00871287128712872,-0.058745874587458835,0.00871287128712872,-0.058745874587458835
2025-01-10,000525.SZ,-2.607590889851367,0.04081905,-0.055387855,0.04081905,-0.055387855,false,0.04081905,-0.055387855,0.040819005118782004,-0.05538784617403858,0.040819005118782004,-0.05538784617403858
2025-01-13,000525.SZ,-0.03505168256230801,-0.0028792024,-0.056668103,-0.0028792024,-0.056668103,false,-0.0028792024,-0.056668103,-0.0028792042926318873,-0.056667975395890524,-0.0028792042926318873,-0.056667975395890524
2025-01-14,000525.SZ,0.1179672188338558,-0.034362435,-0.06743306,-0.034362435,-0.06743306,false,-0.034362435,-0.06743306,-0.03436248546699383,-0.0674331481720708,-0.03436248546699383,-0.0674331481720708
2025-01-15,000525.SZ,0.059574039209684064,-0.016035795,-0.059805393,-0.016035795,-0.059805393,false,-0.016035795,-0.059805393,-0.016035751840168255,-0.05980546792849628,-0.016035751840168255,-0.05980546792849628
2025-01-16,000525.SZ,0.11357857427468,-0.03481227,-0.07695335,-0.03481227,-0.07695335,false,-0.03481227,-0.07695335,-0.03481219735636687,-0.07695327836670585,-0.03481219735636687,-0.07695327836670585
2025-01-17,000525.SZ,0.06069677352948077,-0.08121061,-0.112105906,-0.08121061,-0.112105906,false,-0.08121061,-0.112105906,-0.0812105926860025,-0.11210592686002518,-0.0812105926860025,-0.11210592686002518
2025-01-20,000525.SZ,0.089390818013926,-0.07284415,-0.0947631,-0.07284415,-0.0947631,false,-0.07284415,-0.0947631,-0.07284420527628299,-0.09476309226932667,-0.07284420527628299,-0.09476309226932667
2025-01-21,000525.SZ,0.0758104537421329,-0.049096942,-0.07732439,-0.049096942,-0.07732439,false,-0.049096942,-0.07732439,-0.049096989966555205,-0.07732441471571905,-0.049096989966555205,-0.07732441471571905
2025-01-22,000525.SZ,0.19458942977122798,-0.044482946,-0.0490247,-0.044482946,-0.0490247,false,-0.044482946,-0.0490247,-0.04448303499866413,-0.049024846379909226,-0.04448303499866413,-0.049024846379909226
2025-01-23,000525.SZ,0.3147010229125075,-0.016542375,-0.040677965,-0.016542375,-0.040677965,false,-0.016542375,-0.040677965,-0.01654237288135596,-0.04067796610169494,-0.01654237288135596,-0.04067796610169494
2025-01-24,000525.SZ,0.3273684474502407,0.0,-0.021410882,0.0,-0.021410882,false,0.0,-0.021410882,0.0,-0.021410925061762343,0.0,-0.021410925061762343
