trade_date,code,close,low,high,volume,amount,vwap,ratio,matched_factor,matched_after,matched_before
1992-06-19,600608.SH,192.0,189.75,194.1,260900.0,4987000.0,19.114603,0.099555,0.1,1992-05-21,1992-12-01
1992-06-19,600651.SH,280.0,265.0,280.0,155200.0,4266000.0,27.487113,0.098168,0.1,1991-09-02,1992-12-01
1992-06-19,600653.SH,376.0,370.0,376.0,124800.0,4649000.0,37.251603,0.099073,0.1,1992-04-01,1992-12-01
1992-06-19,600654.SH,163.0,161.0,164.0,109900.0,1785000.0,16.242038,0.099644,0.1,1992-06-01,1992-12-01
1992-06-22,000017.SZ,19.3,19.0,20.95,54100.0,5318000.0,98.299445,5.093236,5.0,1992-04-01,1993-05-01
1992-06-22,600601.SH,156.0,154.0,157.75,134600.0,2094000.0,15.557207,0.099726,0.1,1991-07-01,1992-12-01
1992-06-22,600602.SH,2115.0,2100.0,2147.5,434300.0,9200000.0,21.183514,0.010016,0.01,1991-01-03,1992-12-01
1992-06-22,600603.SH,354.0,351.1,360.0,88100.0,3120000.0,35.414302,0.10004,0.1,1992-05-08,1992-12-01
1992-06-22,600604.SH,260.0,143.25,264.45,325400.0,8456000.0,25.986478,0.099948,0.1,1992-05-11,1992-12-01
1992-06-22,600605.SH,165.0,164.75,170.0,147400.0,2462000.0,16.702849,0.101229,0.1,1992-05-13,1992-12-01
1992-06-22,600606.SH,206.9,204.75,208.4,151600.0,3126000.0,20.620053,0.099662,0.1,1992-05-21,1992-12-01
1992-06-22,600608.SH,191.25,190.0,195.0,294300.0,5640000.0,19.164118,0.100205,0.1,1992-05-21,1992-12-01
1992-06-22,600651.SH,284.0,235.0,292.3,252200.0,7177000.0,28.457573,0.100203,0.1,1991-09-02,1992-12-01
1992-06-22,600653.SH,354.0,352.55,376.0,244800.0,8769000.0,35.821078,0.101189,0.1,1992-04-01,1992-12-01
1992-06-22,600654.SH,164.5,163.0,166.0,143800.0,2364000.0,16.439499,0.099936,0.1,1992-06-01,1992-12-01
1992-06-23,000017.SZ,20.2,19.15,20.2,59000.0,5774000.0,97.864407,4.844773,5.0,1992-04-01,1993-05-01
1992-06-23,600601.SH,155.5,154.0,158.0,163300.0,2547000.0,15.597061,0.100303,0.1,1991-07-01,1992-12-01
1992-06-23,600602.SH,2096.0,2070.0,2150.0,275300.0,5788000.0,21.024337,0.010031,0.01,1991-01-03,1992-12-01
1992-06-23,600603.SH,352.0,350.0,354.1,73900.0,2600000.0,35.182679,0.099951,0.1,1992-05-08,1992-12-01
1992-06-23,600604.SH,257.0,253.8,260.0,174000.0,4470000.0,25.689655,0.09996,0.1,1992-05-11,1992-12-01
1992-06-23,600605.SH,164.0,163.3,167.0,84500.0,1392000.0,16.473373,0.100447,0.1,1992-05-13,1992-12-01
1992-06-23,600606.SH,204.5,202.75,206.9,118000.0,2420000.0,20.508475,0.100286,0.1,1992-05-21,1992-12-01
