时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
93000180,0,652156,0,B,122500,3000
93000180,0,652176,0,S,125000,500
93000180,0,652249,0,B,122100,1000
93000190,0,652449,0,S,126800,100
93000190,0,653189,0,S,129400,2000
93000190,0,653247,0,B,120000,5000
93000190,0,654315,0,B,122500,1800
93000190,0,654575,0,S,132000,400
93000190,0,654700,0,B,122000,1000
93000190,0,655324,0,S,128000,1000
93000190,0,656003,0,B,120100,100
93000200,0,656553,0,B,119000,100
93000200,0,656639,0,S,134900,1300
93000200,0,657913,0,S,123400,1500
93000200,0,658088,0,B,121900,3600
93000200,0,658479,0,B,122000,1500
93000200,0,660122,0,S,122500,2700
93000210,0,660568,0,S,127500,3200
93000210,0,660672,0,B,120000,100
93000210,0,662643,0,S,122900,6900
93000210,0,662659,0,S,129000,4400
93000210,0,662809,0,B,119500,1000
93000210,0,663154,0,B,122500,1700
93000220,0,663800,0,B,121500,1800
93000220,0,664267,0,B,110300,600
93000220,0,664571,0,B,121200,1000
93000220,0,664705,0,S,124000,300
93000220,0,665091,0,B,120000,200
93000220,0,665338,0,B,118800,100
93000230,0,667495,0,B,120000,3000
93000230,0,667846,0,S,130000,200
93000230,0,668276,0,B,121300,5100
93000230,0,669114,0,S,121000,1600
93000240,0,670045,0,B,122500,600
93000240,0,670194,0,B,119000,1000
93000240,0,671396,0,B,119000,1200
93000240,0,671410,0,S,134500,2000
93000240,0,671803,0,B,120600,1000
93000250,0,672735,0,S,123300,200
93000250,0,672921,0,B,115500,3100
93000250,0,672956,0,B,115500,5100
93000250,0,673837,0,S,129000,1000
93000250,0,673838,0,B,121000,200
93000250,0,674093,0,B,122600,200
93000250,0,674124,0,B,122200,1000
93000250,0,674170,0,B,116500,2000
93000250,0,674236,0,B,115800,5000
93000250,0,674681,0,B,120000,3800
93000250,0,674994,0,B,115000,2000
93000250,0,675026,0,S,122000,200
93000260,0,675178,0,S,122400,100
93000260,0,676075,0,S,126100,1600
93000260,0,676086,0,B,120000,2000
93000260,0,676220,0,S,130000,2000
93000260,0,676256,0,S,134900,2000
93000260,0,676985,0,S,122000,500
93000270,0,678299,0,S,126000,1400
93000270,0,678968,0,B,119300,1000
93000280,0,680081,0,B,118000,200
93000280,0,680979,0,B,121000,900
93000280,0,681248,0,S,123700,1000
93000280,0,681813,0,S,132000,1100
93000290,0,682001,0,B,122900,400
93000290,0,682192,0,B,120900,28300
93000290,0,682523,0,B,119000,1000
93000290,0,682888,0,S,125000,1000
93000290,0,683144,0,B,122500,10000
93000290,0,683623,0,S,134900,300
93000300,0,685552,0,S,134900,100
93000300,0,686561,0,S,126500,500
93000310,0,687341,0,B,119700,800
93000310,0,688034,0,S,126000,500
93000310,0,688229,0,B,120200,3000
93000310,0,688489,0,S,125400,500
93000310,0,688769,0,S,127000,500
93000310,0,688836,0,S,125100,1000
93000310,0,688908,0,B,118100,800
93000320,0,689026,0,S,122000,28100
93000320,0,689060,0,B,118000,200
93000320,0,689442,0,S,128000,500
93000320,0,689754,0,B,122100,100
93000320,0,689823,0,B,119500,700
93000320,0,690981,0,B,122000,10000
93000320,0,691143,0,S,129000,500
93000330,0,691408,0,S,134900,1900
93000330,0,691838,0,S,126200,1000
93000330,0,692346,0,B,121200,600
93000340,0,694195,0,B,120500,1000
93000340,0,694239,0,B,120000,2000
93000340,0,694444,0,B,119800,1000
93000340,0,694916,0,S,132000,5000
