trade_date,code,class,open,high,low,close,volume,amount,vwap,ratio,adj_factor,fq_factor,float_shares,total_shares
2001-07-27,600633.SH,other,6.78,6.78,6.78,6.78,3000.0,20882.0,6.960666666666667,1.0266470009832842,2.2315634218289087,2.64,1320.0,15205.08
2001-08-30,600239.SH,other,27.45,27.45,27.19,27.2,3800.0,105663.0,27.806052631578947,1.022281346749226,1.5036764705882353,1.5,3000.0,7584.9
2001-12-17,600081.SH,other,26.8,27.42,26.8,26.96,3000.0,83336.0,27.778666666666666,1.0303659742828881,3.932121661721068,4.02,5025.0,20100.0
2001-12-19,600081.SH,other,27.3,27.6,27.3,27.48,3700.0,103914.0,28.084864864864866,1.0220110940634959,3.9337700145560404,4.02,5025.0,20100.0
2002-04-19,600633.SH,other,12.49,12.49,12.49,12.49,1200.0,15263.0,12.719166666666666,1.0183480117427275,2.417934347477982,2.64,1320.0,15205.08
2003-05-13,600613.SH,other,12.78,12.78,12.78,12.78,1000.0,12000.0,12.0,0.9389671361502347,18.541471048513305,18.25,912.55,14790.5
2004-12-03,000803.SZ,other,12.25,12.25,12.21,12.25,3800.0,47615.58,12.530415789473684,1.0228910848549946,1.9502040816326531,1.95,4871.1,10136.1
2006-05-19,600961.SH,other,8.32,8.61,7.9,8.22,99762028.0,83584104.0,0.8378348523548459,0.10192638106506641,1.3917274939172748,1.35,16200.0,42745.79
2006-05-31,600131.SH,other,5.22,5.43,5.16,5.28,9801541.0,5219600.0,0.5325285075071359,0.10085767187635149,3.678030303030303,4.38,16991.5,50412.52
2006-07-13,600733.SH,other,4.85,4.85,4.38,4.38,4399798.0,18025600.0,4.096915358386908,0.9353688032846822,2.7009132420091326,2.7,7560.0,19758.6
2007-05-21,600759.SH,other,2.04,2.04,2.04,2.04,10500.0,21000.0,2.0,0.9803921568627451,2.161764705882353,2.11,6916.0,20855.2
2007-05-22,600759.SH,other,2.14,2.14,2.14,2.14,27900.0,59000.0,2.1146953405017923,0.9881753927578468,2.163551401869159,2.11,6916.0,20855.2
2007-05-23,600759.SH,other,2.25,2.25,2.25,2.25,6400.0,14000.0,2.1875,0.9722222222222222,2.16,2.11,6916.0,20855.2
2007-05-24,600963.SH,other,22.0,22.0,20.24,20.75,9852515.0,20942716.0,2.125621326128405,0.1024395819820918,1.9686746987951809,1.95,17126.77,43480.01
2009-02-05,000536.SZ,other,5.32,5.32,5.32,5.32,3800.0,20620.32,5.4264,1.02,1.150375939849624,1.27,4546.72,12192.72
2009-02-09,000536.SZ,other,5.87,5.87,5.87,5.87,100.0,598.74,5.9874,1.02,1.160136286201022,1.27,4546.72,12192.72
2009-04-24,000430.SZ,other,7.35,7.35,7.35,7.35,5600.0,41821.5,7.468125,1.0160714285714285,3.070748299319728,3.06,7435.8,18360.0
2015-05-28,000725.SZ,unit_like,4.95,5.43,4.89,5.16,51354665.0,27293497344.0,531.4706530360971,102.99818857288705,4.6395348837209305,4.6,2335331.0,3528963.75
2015-06-09,601988.SH,unit_like,5.25,5.46,5.12,5.29,47953531.0,25401788416.0,529.7167463226014,100.13549079822332,1.2722117202268433,1.1,21076552.0,29438780.0
2015-07-06,601288.SH,unit_like,3.8,3.86,3.65,3.86,43720880.0,16565088256.0,378.882773082335,98.15615882962047,1.1347150259067358,1.0,29405530.0,32479412.0
2015-07-08,601988.SH,unit_like,5.1,5.6,4.85,5.59,51098974.0,27465121792.0,537.4887134133065,96.15182708645914,1.3005366726296959,1.1,21076552.0,29438780.0
2024-11-08,600221.SH,unit_like,2.36,2.44,2.18,2.23,44617929.0,10447899648.0,234.16370688115086,105.00614658347573,3.327354260089686,2.87,3287267.75,4321563.5
2024-12-09,600157.SH,unit_like,2.04,2.04,1.9,1.95,56161348.0,11199149056.0,199.4102608790658,102.26167224567476,53.09230769230769,46.99,2221776.5,2221776.5
2024-12-10,600157.SH,unit_like,1.95,2.14,1.92,2.01,43432514.0,8748469248.0,201.42672947736804,100.21230322257118,52.910447761194035,46.99,2221776.5,2221776.5
2025-10-14,600010.SH,unit_like,2.93,3.07,2.88,2.91,51712529.0,15530844160.0,300.33039304652846,103.20632063454586,7.134020618556701,6.5,3138079.75,4528862.0
2026-03-12,601868.SH,unit_like,3.52,3.8,3.5,3.8,47846559.0,17458274304.0,364.8804567952316,96.02117284085043,1.0289473684210526,1.0,3242872.75,4169116.25
2026-05-22,000725.SZ,unit_like,4.7,5.16,4.47,5.16,60110592.0,29162864640.0,485.15350905211517,94.0219978783169,5.174418604651162,4.6,3634166.25,3704432.75
2026-05-25,000725.SZ,unit_like,5.17,5.37,5.06,5.27,43088757.0,22498861056.0,522.1515453787632,99.07998963543895,5.161290322580645,4.6,3634166.25,3704432.75
2026-05-26,000725.SZ,unit_like,5.22,5.8,5.18,5.77,51377249.0,28645746688.0,557.5570363450172,96.6303355883912,5.112651646447141,4.6,3634166.25,3704432.75
2026-05-27,000725.SZ,unit_like,5.8,6.09,5.53,5.72,50185216.0,29012705280.0,578.1125915648146,101.0686348889536,5.1171328671328675,4.6,3634166.25,3704432.75
2026-06-05,000725.SZ,unit_like,6.11,6.77,6.01,6.43,55041157.0,35684790272.0,648.3292179341361,100.82880527747062,5.060653188180405,4.6,3634166.25,3704432.75
2026-06-08,000725.SZ,unit_like,6.48,6.74,6.22,6.29,45998760.0,29701642240.0,645.7052807510463,102.65584749619178,5.069952305246423,4.6,3634166.25,3704432.75
2026-06-26,000725.SZ,unit_like,7.5,8.24,7.36,7.79,45251768.0,35676680192.0,788.4041169838933,101.20720372065384,5.012836970474967,4.6,3536713.5,3704432.75
2026-06-30,000725.SZ,unit_like,8.15,8.75,8.11,8.68,51878999.0,44556779520.0,858.8596614980949,98.94696561037959,4.971198156682028,4.6,3536713.5,3704432.75
2026-07-01,000725.SZ,unit_like,8.49,8.81,8.31,8.77,46253148.0,39601266688.0,856.1853279262203,97.62660523674121,4.966932725199545,4.6,3536713.5,3704432.75
2026-07-02,000725.SZ,unit_like,8.15,9.5,7.89,9.1,56618588.0,49342410752.0,871.4878363268261,95.76789410184902,4.953846153846154,4.6,3536713.5,3704432.75
